<tbl>
<tt> Veröffentlichungsart und Inhalt
<dt> 1140.tab
<tag> 1140
<row>Amtsblatt QQ aa QQ
<row>Abstract QQ ab QQ
<row>Anzeigenblatt QQ az QQ
<row>Bibliographie QQ bi QQ
<row>Bibliothekskatalog QQ kt QQ
<row>Datenbank QQ da QQ
<row>Directory QQ di QQ
<row>Entscheidungssammlung QQ es QQ
<row>Fachzeitung QQ ft QQ
<row>Firmenzeitschrift/-zeitung QQ fz QQ
<row>Fortschrittsbericht QQ fb QQ
<row>Haushaltsplan QQ ha QQ
<row>Illustrierte QQ il QQ
<row>Index QQ in QQ
<row>Kongressbericht QQ ko QQ
<row>Magazin QQ mg QQ
<row>Messeblatt  QQ me QQ
<row>Referateorgan  QQ rf QQ
<row>Report-Serie QQ re QQ
<row>Schulschrift QQ sc QQ
<row>Statistik QQ st QQ
<row>Website QQ ws QQ
<row>Übersetzungszeitschrift QQ ub QQ
<row>Zeitungen für die allgemeine Öffentlichkeit QQ ao QQ
<row>Zeitungen für eine eingeschränkte Öffentlichkeit QQ eo QQ
<row>Überregionale Zeitungen QQ up QQ
<row>Regionale Zeitungen QQ rp QQ
<row>Lokale Zeitungen QQ lp QQ
</tbl>
